age,income,loan_amount,loan_term,num_of_credit_lines,credit_history_length,num_of_delinquencies,credit_score,savings,employment_length,default
18,245.7,17309.89,13,3,1,1,656,22187.74,8,0
32,936.76,10900.78,22,5,2,1,573,16174.58,4,0
49,17494.87,8514.24,13,2,5,2,665,20398.32,4,0
43,11153.74,7600.12,15,4,6,0,685,27916.42,7,0
41,3654.52,14969.12,14,7,5,2,603,41710.54,2,0
42,4325.09,6925.87,16,3,1,1,564,1936.04,6,1
59,1221.71,4927.28,16,1,2,6,626,165.13,1,0
48,5832.07,6165.57,34,3,4,2,709,15637.15,3,0
22,119.51,3416.44,35,6,3,2,619,2091.72,14,0
46,39469.0,12202.38,19,3,7,1,599,28717.99,5,0
36,564.9,1182.45,39,7,5,0,487,4825.93,7,0
44,389.87,5440.8,30,3,2,3,620,11957.09,11,0
55,5256.44,5407.65,62,1,4,2,575,37553.71,6,0
26,1312.24,15141.2,38,3,3,1,587,1900.01,9,0
41,1510.07,11983.39,55,2,5,3,615,63010.19,13,1
37,24296.96,14493.04,37,4,4,3,538,12335.95,14,1
46,3773.27,9582.7,24,2,4,3,626,1727.89,1,0
46,3310.96,5786.12,29,3,1,2,582,953.65,9,0
45,1615.16,4770.98,27,6,5,2,621,20970.92,2,0
41,5341.75,2369.63,15,4,2,4,583,10671.68,7,1
42,254.62,4747.49,59,1,5,0,569,20853.93,8,0
39,2262.02,12416.75,14,2,3,2,635,24614.24,0,0
52,494.83,2521.65,63,4,7,3,600,41297.95,1,0
55,4336.55,6591.6,32,3,3,1,617,4419.71,2,1
31,536.85,16314.86,30,3,2,3,577,34448.33,4,0
32,1576.74,15746.02,20,1,3,2,627,24326.14,4,0
18,363.61,12349.8,29,5,4,2,544,10623.41,14,1
20,3804.1,22907.01,14,2,6,3,616,14220.01,2,1
36,4766.67,19717.61,12,1,3,3,522,17607.81,1,1
35,1044.08,6572.1,38,2,5,1,608,13082.74,9,0
37,561.59,3525.7,48,8,4,0,621,29853.15,7,0
45,71921.98,14822.82,23,2,4,0,634,11266.8,8,0
49,30313.64,5631.41,26,3,6,1,574,40620.2,9,0
57,5537.97,5158.21,13,2,6,4,665,31310.95,6,0
45,4010.85,7609.67,22,1,3,6,664,5109.62,0,1
44,2602.46,7243.62,30,3,3,2,614,914.17,2,0
52,412.98,6711.14,14,7,9,3,667,28048.5,4,0
46,23258.43,7816.8,12,2,2,2,689,1444.2,4,1
52,2695.22,1767.85,19,1,2,3,629,6397.41,6,0
59,2541.68,4650.68,23,3,2,5,614,1776.95,2,0
46,5676.26,4964.49,63,2,4,3,573,27263.96,2,0
29,1261.32,14638.71,26,6,5,1,567,27680.87,9,1
64,14577.91,18166.04,36,3,2,4,565,29178.54,3,1
34,6907.35,8136.32,23,1,3,2,693,29176.82,21,0
53,6365.44,7630.18,20,3,5,4,565,88.78,7,0
48,402.68,3173.52,43,3,3,5,655,26407.25,0,0
42,1300.99,8111.0,59,2,4,1,520,29774.42,4,0
18,194.6,11921.49,27,2,2,1,552,2124.96,13,0
36,11837.21,4875.0,30,7,3,5,594,29410.3,19,0
44,5334.36,4378.77,15,2,3,3,605,11655.34,9,1
24,3455.35,30164.97,48,6,5,3,606,101764.41,25,1
52,3011.59,7917.72,20,9,2,5,567,16260.0,6,0
42,1808.94,1999.86,21,1,1,1,638,10155.32,7,1
47,41397.07,11963.31,31,4,2,0,542,4106.56,8,0
41,12634.36,6488.0,14,2,6,1,661,36617.44,12,0
41,3282.17,6894.94,39,1,1,0,608,4220.09,7,0
45,60665.13,11584.92,13,2,6,0,587,30223.22,9,0
51,969.03,3730.8,21,2,3,4,611,1489.12,4,0
42,15833.24,10264.11,15,2,8,1,668,32924.63,5,0
52,4474.33,2113.22,28,3,6,1,558,24692.04,3,1
18,20.86,2038.31,53,2,1,4,605,21919.15,22,0
50,1096.94,6745.61,37,10,6,1,562,7630.11,2,0
51,718.55,2913.31,27,4,1,4,521,3361.61,1,0
42,124.99,14388.0,45,3,5,1,611,17498.82,14,0
59,6707.94,13642.51,48,2,5,5,627,2234.12,3,1
45,5003.12,13895.61,15,3,7,3,625,50933.51,5,0
38,1488.05,11624.57,13,2,2,3,534,16000.29,0,0
50,27979.41,9044.46,18,1,6,2,531,21064.9,2,0
43,7991.92,11316.2,20,5,6,4,642,26115.93,12,0
49,7739.67,7160.16,19,5,3,3,599,7464.63,6,0
64,24903.15,13258.45,31,2,2,7,607,38422.95,13,0
50,3376.46,7905.63,28,2,2,4,529,8642.15,0,0
46,10196.64,12665.92,44,5,9,5,615,27817.47,2,1
36,776.16,7757.52,21,1,4,1,640,22525.99,3,0
47,1946.34,1570.45,19,1,3,2,651,14063.58,6,0
47,36600.03,12549.43,41,2,4,2,645,10303.32,8,0
35,1077.52,7853.75,39,5,5,2,531,10753.51,10,0
43,4201.85,7093.48,44,4,3,1,508,6923.59,0,0
51,103.07,6520.9,57,3,6,4,663,40538.65,3,0
45,1832.2,1918.79,31,6,3,1,594,3435.21,13,0
61,4439.11,9591.8,20,6,4,4,632,43856.89,14,1
44,15568.49,7993.59,30,5,3,1,565,9101.17,6,0
42,445.49,6366.07,38,4,3,1,564,7836.8,8,0
44,2622.45,4737.73,21,2,2,2,567,9743.41,8,0
48,2166.45,3931.35,32,6,3,2,687,1684.18,1,0
44,10398.45,5843.44,39,3,1,2,554,872.14,6,0
46,24593.11,4045.06,40,5,9,1,647,60449.34,12,0
30,175.25,7652.36,55,3,4,3,702,14943.7,11,0
40,475.03,2101.04,23,7,5,3,513,35649.89,15,0
47,2628.26,2090.78,32,3,4,4,579,42899.82,18,0
43,39267.83,9666.1,31,8,9,0,559,49272.06,9,0
47,8550.33,1977.29,42,7,7,2,632,51421.62,13,1
49,98528.92,7173.05,14,2,4,1,680,38207.92,14,1
46,1619.44,4068.77,20,1,2,0,571,3850.07,2,1
40,2052.02,8611.25,18,5,1,1,588,20828.24,6,1
28,774.7,15267.93,15,5,2,1,604,18694.08,3,0
44,23017.39,13191.19,17,1,7,2,610,23322.1,6,0
55,3142.22,7704.97,31,3,5,1,649,9796.5,0,1
46,1027.91,2429.14,16,7,5,3,550,18160.43,3,0
46,3655.24,4673.72,43,2,1,0,674,12630.83,1,0
35,5225.16,6631.32,30,1,2,2,560,19911.56,18,0
41,9332.03,6846.26,41,4,1,3,599,493.08,8,0
46,84947.25,10639.99,13,1,4,3,508,13260.31,1,1
35,1856.58,10661.03,17,2,3,1,586,28478.84,2,1
64,13802.04,11341.3,35,3,3,0,646,17300.5,5,1
44,2704.87,18400.6,44,4,5,5,561,58292.32,6,0
54,17622.95,7729.31,21,2,5,5,508,23526.24,5,0
28,431.08,11412.78,16,2,5,1,561,1452.03,3,0
18,285.66,12134.22,41,3,4,1,606,13657.3,14,0
48,2572.99,2902.17,53,3,5,4,506,32792.36,7,1
51,986.74,4117.05,56,2,4,3,610,36932.37,3,0
34,2249.66,3434.52,28,2,2,2,636,22788.2,13,1
43,2567.3,1169.39,19,4,4,1,587,26028.32,12,0
47,4630.49,7717.57,15,2,6,3,618,16420.74,2,0
31,1158.1,7098.33,45,5,1,0,636,7405.53,8,0
43,778.29,5549.06,21,3,2,3,600,15252.06,3,0
25,995.58,21569.74,16,2,5,1,597,49400.55,4,0
50,86745.47,6339.71,48,2,12,1,501,68729.25,5,0
46,9653.0,7855.05,23,5,4,3,730,57894.31,20,1
43,13553.62,10394.46,31,2,4,1,598,5377.27,2,0
52,1566.39,5409.48,29,4,2,1,574,214.13,1,1
47,2514.74,2578.7,65,3,6,1,664,30905.86,4,0
43,12065.32,1523.25,16,3,5,6,552,2725.08,6,1
45,89560.04,13356.23,14,6,6,1,604,26207.71,8,0
47,1297.16,17596.17,49,3,1,3,640,50627.35,11,1
42,8002.73,4269.97,14,2,3,2,645,8044.09,12,1
37,1632.47,9894.35,24,3,8,1,611,36787.87,4,0
46,1427.67,7037.17,62,3,3,5,547,21188.56,7,1
66,10840.16,13750.34,33,2,1,0,519,21987.65,1,1
55,19188.93,4207.61,21,3,1,0,616,24621.35,6,1
25,315.22,10265.59,25,3,3,1,676,1511.73,10,0
53,410.63,12419.25,25,2,4,2,525,6750.97,9,0
46,1365.82,3614.55,45,5,5,2,620,17355.51,10,0
29,229.98,7742.2,14,4,5,1,624,22445.95,11,0
49,36039.96,8870.09,32,1,5,3,492,38816.88,14,0
42,2857.35,2846.12,15,6,5,0,635,38185.93,13,0
36,3740.54,10907.59,24,2,4,1,630,14550.22,14,0
47,1636.49,7481.99,13,1,4,4,530,22648.77,1,0
35,715.91,3779.96,38,4,5,1,568,7614.24,9,0
33,309.02,1585.77,36,2,1,1,644,6418.21,14,0
23,771.17,14337.7,32,1,3,1,685,20342.27,6,0
44,964.18,8283.55,25,3,5,3,680,35220.1,1,0
22,249.73,9102.49,24,2,2,2,620,15168.46,7,0
66,2975.09,12584.67,13,4,2,4,568,14163.58,1,1
43,686.3,2381.93,13,1,3,2,654,12272.55,1,0
36,845.6,8340.36,13,2,9,1,633,43327.52,4,0
30,146.26,5376.52,43,1,5,1,577,1635.01,13,0
44,2473.36,9712.71,17,5,3,4,587,3606.79,0,0
54,2510.15,2217.77,31,4,2,4,542,5578.29,3,0
24,107.68,4570.45,53,1,5,2,663,10294.18,18,0
37,411.45,10562.84,64,1,6,3,530,42728.05,0,1
52,3672.29,3886.44,23,2,1,4,531,1786.65,6,0
44,537.91,1108.81,35,2,1,2,669,4672.73,5,0
37,2275.5,1562.48,20,2,2,3,475,10212.69,9,1
55,21260.99,11126.03,40,4,2,3,607,20704.19,4,0
31,1813.47,8408.74,23,1,8,5,616,44358.36,0,1
57,763.5,7247.28,18,1,6,4,571,20705.58,2,0
39,298.3,9569.43,47,1,7,2,667,4644.55,7,0
47,433.87,4251.17,18,1,3,4,626,3051.79,7,0
18,23.46,1275.85,27,2,1,1,579,7014.22,17,0
30,1987.66,1634.89,13,3,3,6,566,3517.8,11,1
40,1520.35,4261.91,23,6,5,1,706,17279.05,8,0
49,2393.2,3268.09,22,1,4,3,666,8228.61,2,0
42,2606.67,1027.38,37,6,2,2,687,10780.85,9,0
34,653.08,1147.1,50,2,7,1,623,4856.49,12,0
28,2416.42,19635.46,24,5,3,1,620,28034.58,5,0
36,359.52,1298.29,34,2,3,1,626,303.0,9,0
35,819.44,6167.17,34,4,7,0,667,22102.73,8,0
53,45551.07,3320.75,13,5,1,1,642,15602.72,7,1
49,2532.76,12476.0,35,3,4,6,638,19107.03,6,0
43,1755.56,8007.23,21,2,3,4,652,467.74,2,0
51,23189.88,10364.15,27,3,3,2,626,1967.88,2,0
18,1323.1,25879.14,16,2,3,1,571,50068.41,1,0
38,1143.34,9872.61,14,6,3,2,589,26293.09,1,0
46,12444.66,1431.28,31,4,4,4,545,95.81,8,1
57,2954.73,6585.59,33,7,2,7,551,17741.72,6,0
46,675.83,3288.59,28,5,3,3,600,4440.89,14,0
50,1218.84,2213.59,40,4,5,2,587,13929.0,6,0
36,7570.22,9519.12,12,1,1,2,583,4602.08,9,1
50,2529.37,3447.05,27,3,2,3,658,2272.66,0,0
57,320.28,16693.11,31,2,5,3,623,14044.63,6,0
21,403.01,13189.44,30,2,2,0,672,5134.17,9,0
68,16910.49,20476.23,26,2,5,1,591,64696.18,9,1
68,8607.38,19908.0,17,5,2,0,602,48202.78,7,1
43,2093.31,3205.23,35,4,3,1,552,443.56,12,0
43,1426.93,10595.73,14,4,4,4,537,32558.97,1,0
32,369.12,2374.13,36,2,2,0,582,9320.29,12,0
54,72116.42,16884.6,41,2,5,2,612,19228.18,15,0
57,13728.33,4548.43,15,6,6,4,586,15892.4,6,0
46,9529.34,4222.11,25,6,3,0,696,16493.54,8,0
34,8561.22,2038.96,16,3,5,8,529,2414.84,6,1
37,19476.44,13594.03,63,4,1,4,604,17679.28,4,0
48,5881.48,11860.8,15,3,1,6,534,24254.43,3,1
43,3528.43,14505.18,19,2,3,4,602,32875.2,2,0
47,6670.18,6933.55,47,3,1,0,555,12271.32,2,0
43,7030.02,1105.92,15,3,4,4,603,2778.58,3,1
58,7615.55,6570.5,39,3,4,0,668,43.82,3,1
18,674.3,21356.5,46,4,3,3,509,23436.36,12,0
48,7540.9,4248.92,42,2,2,1,615,3522.76,1,0
33,17116.4,10869.42,16,1,6,2,600,41800.94,19,0
39,5614.7,17859.01,15,1,3,2,668,23679.02,7,1
24,2064.49,21062.49,27,1,3,0,605,18525.82,1,0
57,7727.72,6067.77,21,2,3,5,582,4306.93,6,0
48,5041.72,3948.8,22,4,3,1,570,10502.33,8,1
43,21376.92,7466.62,24,3,6,0,604,39891.21,12,0
30,1240.22,12941.46,30,1,9,3,777,58260.91,0,1
26,212.06,2836.72,33,4,4,2,589,9006.55,7,0
38,474.02,4729.31,42,2,5,0,595,2360.09,7,0
50,574.39,5030.34,12,6,4,3,623,7271.73,2,0
52,3656.61,1484.99,29,2,4,2,678,614.14,10,0
35,3311.81,14598.62,30,2,8,1,567,38169.84,5,0
40,11243.44,4691.63,28,2,5,5,566,8232.85,10,1
55,38472.93,8538.13,17,2,3,5,534,27107.44,7,1
57,18212.72,6677.19,46,5,7,4,712,19278.98,1,0
31,1570.57,21321.12,36,4,5,2,671,59586.76,2,0
54,3043.75,2368.36,16,2,3,4,652,19211.33,3,0
84,22149.62,27772.69,25,3,3,2,543,68109.47,9,1
46,15978.37,4824.07,22,2,2,1,608,20629.72,13,0
26,822.81,12414.25,35,2,3,0,588,10884.07,9,0
60,5164.74,11933.84,13,3,4,3,521,53893.06,16,1
31,2600.29,15510.36,30,3,8,1,562,42214.73,4,0
45,3066.77,6616.81,42,1,2,1,650,14262.47,4,0
33,1500.02,17571.03,19,2,4,2,530,39793.61,3,0
55,3763.94,7449.57,26,7,3,5,608,28750.36,7,0
45,9187.0,5560.64,20,3,3,0,570,17659.36,8,0
33,306.91,1558.47,31,1,4,0,607,5680.79,8,0
42,1937.12,3940.3,39,7,2,0,650,1247.41,9,0
45,7245.79,11046.25,24,4,8,1,582,40143.03,2,0
47,3684.91,5421.66,16,3,2,1,595,20257.37,11,1
69,10560.51,26653.13,22,5,8,2,561,90947.46,11,1
18,385.88,19272.9,26,6,4,2,686,9442.34,6,0
47,4199.91,12252.59,20,2,4,3,655,36744.28,6,0
45,341.36,1106.77,53,1,4,2,661,25916.4,4,0
48,11081.44,10645.7,34,2,7,4,627,11942.23,6,1
44,31154.58,11356.15,27,7,9,1,624,41362.38,6,0
47,816.28,5022.68,39,3,2,4,566,18283.58,2,0
41,3704.7,4770.67,15,7,6,2,598,21029.33,4,1
23,246.88,7463.95,36,2,4,1,614,11736.58,11,0
60,7083.38,17670.84,27,3,3,3,640,46511.89,7,1
45,52136.46,18111.05,15,2,8,2,645,12336.32,0,0
45,4169.05,6775.3,32,2,2,1,618,37.33,6,0
40,803.53,5376.62,56,3,5,0,624,9468.94,9,0
46,3621.84,5737.81,30,3,2,2,611,1203.68,9,0
33,467.08,2858.86,33,3,5,1,694,13914.27,7,0
38,1677.41,11454.77,12,3,4,2,642,25340.68,3,0
58,10838.92,14662.03,29,3,2,8,572,34759.99,7,0
49,1438.73,1154.1,28,2,2,4,676,14426.49,5,0
22,1384.34,17313.89,41,2,6,1,649,33758.97,7,0
37,599.83,1242.65,40,4,2,1,498,15519.21,8,0
18,363.34,21742.54,18,5,3,0,619,23744.5,5,0
50,803.97,1295.02,57,3,4,2,649,30353.05,1,0
51,6283.03,3011.82,16,3,5,2,582,17331.51,2,0
48,22121.7,17652.28,39,4,4,3,646,20593.57,8,0
21,379.96,5814.08,55,3,2,2,606,17040.84,12,0
40,25960.53,7367.69,30,6,9,2,542,55502.55,12,0
26,145.47,2598.16,31,5,3,1,576,1884.23,12,0
37,2387.18,2401.22,24,5,7,0,658,47124.47,17,0
27,644.27,6230.18,50,2,1,0,631,15470.74,14,0
46,2934.48,8615.36,48,1,3,2,482,26586.74,3,0
44,6015.68,10549.75,24,6,4,2,671,1753.44,3,0
50,49696.96,10153.28,24,2,4,1,636,7433.35,2,0
43,1419.62,3569.04,28,7,2,2,629,6437.68,8,0
38,6847.73,3391.39,15,5,1,2,637,35433.78,27,0
43,6033.92,3091.82,31,2,3,2,668,865.26,10,1
47,1703.6,10949.35,48,3,3,2,641,31481.43,1,1
34,785.92,6784.19,44,1,3,3,552,35963.67,12,1
52,5445.26,3982.27,35,1,9,5,624,37894.27,0,0
45,9055.07,3481.09,22,6,5,1,676,36561.9,11,0
18,336.43,11619.47,56,3,1,3,654,6904.56,15,0
39,855.54,7693.19,13,4,2,3,656,2855.3,4,0
30,985.47,19007.12,20,4,4,2,571,47863.88,0,0
48,17805.38,7735.44,21,6,4,0,542,11766.06,2,0
34,4439.42,20432.23,16,5,1,2,643,27974.76,1,0
23,318.5,15562.3,15,4,6,2,672,678.46,8,0
67,5453.41,15563.89,50,3,1,0,660,18896.67,1,1
45,8234.2,12809.74,43,4,2,1,636,17206.13,0,0
49,3510.55,5503.76,53,4,3,1,679,25762.04,0,0
35,862.15,6700.13,33,3,2,1,628,3298.93,7,0
30,2461.81,15613.72,37,2,5,0,583,30148.26,5,0
58,1285.92,10600.55,31,1,10,2,590,18156.46,3,0
46,2320.78,3288.14,49,4,3,0,640,15690.62,5,0
70,17489.26,16865.5,40,5,4,1,601,20270.72,3,1
49,734.94,2276.09,18,4,4,6,595,15837.56,5,0
38,2325.48,3505.89,62,6,9,0,658,68148.0,12,1
49,3927.34,19257.58,58,2,5,2,605,96469.69,28,1
48,1091.02,3323.27,14,2,5,4,539,21244.13,3,0
39,1705.11,8846.14,26,2,1,2,629,5571.07,3,0
54,30327.89,14777.91,19,2,1,2,621,39257.86,20,1
41,1233.36,1340.84,21,3,4,3,598,33672.53,16,0
43,192.4,9875.5,27,2,4,1,614,7206.97,8,0
64,14227.11,16893.53,18,4,1,3,636,34158.22,2,1
35,6471.37,10801.49,28,4,6,0,506,23389.67,7,1
40,7255.65,7522.33,26,3,4,0,667,22216.53,8,1
46,719.52,1182.45,38,2,4,0,653,31203.81,8,1
23,2290.09,16706.36,24,5,6,2,573,5359.26,5,1
46,22600.53,11099.73,27,4,7,3,570,32800.81,7,0
39,4215.86,3733.47,32,4,4,2,691,17871.44,1,1
18,343.21,17735.34,17,8,2,2,510,27801.01,6,0
40,5048.53,7938.87,14,3,4,1,688,21168.21,13,0
39,10938.69,11105.93,13,5,8,0,698,25507.33,4,0
47,1707.7,1011.57,18,2,2,4,707,20860.19,13,0
24,540.5,1981.4,18,4,4,6,548,8114.82,7,1
46,29520.94,11372.2,15,4,1,2,592,21542.71,12,1
40,2384.98,5774.77,46,2,1,1,574,6308.6,5,0
54,39904.75,10039.59,21,2,2,5,662,40542.16,11,1
53,116660.99,13613.98,21,2,9,2,670,27850.82,2,0
57,1100.78,7516.97,20,3,1,5,553,8942.61,0,0
24,2499.86,6181.76,19,5,4,8,577,10869.21,6,1
50,2648.07,15144.0,19,4,4,5,645,39687.0,3,1
66,1954.21,19224.48,31,5,4,1,547,34295.99,3,1
39,1532.34,2734.57,14,6,3,0,635,34921.44,20,0
45,78450.9,13777.61,21,3,11,0,557,36835.88,0,0
49,2697.37,3474.58,13,4,4,4,587,18865.01,8,0
49,4710.68,1037.75,13,6,5,1,632,23547.15,3,0
34,2053.08,11815.84,35,4,6,0,604,30730.41,3,0
40,5606.75,11023.64,33,6,1,1,638,1387.51,11,0
32,2361.07,17821.37,20,3,1,2,635,22634.44,1,0
50,1795.55,2308.6,25,3,2,4,560,25.53,6,0
45,6076.14,16279.18,14,1,3,4,611,33864.18,2,0
47,6893.79,3988.22,39,3,4,1,618,36850.58,6,1
36,1426.54,4295.09,29,2,1,3,624,26083.57,15,1
28,1357.37,12666.96,46,1,2,0,604,454.13,6,0
48,13742.85,8319.02,13,5,1,1,587,3475.87,2,1
31,245.39,1057.43,30,5,4,1,668,6789.08,8,0
22,227.26,4846.77,45,3,2,1,544,14261.56,14,0
50,4816.26,3205.68,23,3,2,2,615,5958.4,4,0
52,32856.27,6996.17,43,5,7,1,597,70530.56,14,1
38,897.13,8149.95,19,2,6,2,539,30890.16,3,0
48,7874.99,2679.0,54,4,8,1,605,56022.82,5,1
37,12025.68,5184.79,26,6,4,5,649,6770.4,18,1
35,860.87,10691.42,17,4,3,2,637,13377.22,0,0
31,4955.15,23341.84,26,6,2,1,668,32853.66,0,1
65,23984.84,11628.39,15,2,1,0,578,33654.15,7,1
42,12096.92,1640.15,13,3,3,4,601,13683.33,13,1
54,1944.02,1247.25,20,5,3,5,567,9732.99,0,0
69,2720.23,22019.02,36,4,5,1,562,48735.59,0,0
46,37511.86,13855.9,32,1,2,0,606,493.51,5,0
57,54441.9,3682.16,18,2,2,1,608,32310.47,8,1
42,2393.93,2760.76,33,2,5,3,607,25549.05,3,1
37,594.66,1934.86,35,4,1,1,616,8020.42,8,0
42,2891.37,3857.08,51,1,6,3,583,29046.49,3,1
48,980.8,2975.12,39,2,3,3,598,21961.7,0,1
18,205.38,8057.64,53,2,1,3,682,8445.89,15,0
52,1559.3,5461.94,33,6,2,5,662,17316.01,6,0
35,372.84,4788.22,14,1,3,1,572,19499.5,3,0
42,7967.71,7371.16,54,2,4,2,656,12974.33,10,0
44,3151.46,4311.38,38,5,2,0,623,1794.95,9,0
18,673.74,21614.89,29,6,3,0,674,12777.85,10,0
42,193.9,12105.68,41,6,4,0,578,17205.59,10,0
40,62155.98,16142.67,28,1,5,2,559,14544.07,8,0
35,3771.7,10989.06,12,4,8,1,594,26509.18,8,0
52,11944.09,12168.21,43,2,4,2,577,64955.24,14,1
39,908.09,5813.71,17,5,4,0,613,27303.37,1,1
54,24770.64,4459.39,27,4,8,4,603,11398.42,5,1
60,1639.2,8488.98,29,5,3,5,624,6530.9,1,0
44,837.76,3545.59,16,3,3,3,586,13683.47,3,0
48,3043.24,1788.58,31,2,1,1,568,2133.77,5,0
48,2833.5,5278.08,47,5,5,2,514,20542.79,10,0
41,7085.26,8833.89,20,2,5,0,589,16246.44,5,0
32,272.05,2438.01,35,1,1,1,723,11493.22,7,0
39,1263.09,8115.6,23,3,5,2,597,24086.64,4,0
55,2044.13,3698.19,23,1,1,5,569,7757.11,2,0
41,2136.83,2531.61,31,1,5,1,616,47088.18,19,1
44,7054.6,8115.88,21,2,1,6,663,29063.37,10,1
41,3908.84,9088.29,37,4,3,7,585,32533.52,10,1
47,5457.64,5965.08,42,1,2,0,661,9531.51,1,0
40,1276.89,4674.29,40,7,3,1,602,4596.61,15,0
45,9408.93,8048.44,18,3,3,1,609,12663.76,7,0
55,4067.92,9347.19,26,4,5,2,580,48364.39,10,1
34,1501.07,19321.48,26,5,1,4,623,34154.69,0,0
37,38480.29,8593.08,36,3,9,2,549,63697.48,19,0
54,26974.23,3800.27,17,3,2,0,551,34800.63,17,1
75,9292.76,3739.86,29,2,4,8,590,25186.52,14,0
35,115.3,6553.39,31,8,1,1,550,17077.16,11,0
